id,happiness
8001,3.912082037646413
8002,3.2117076748113926
8003,3.4144478455537595
8004,4.410769672636357
8005,3.5145386618066614
8006,4.212943576379468
8007,3.826299233550225
8008,4.580382939920272
8009,3.8674452412239697
8010,3.32958522741096
8011,3.1930820738374335
8012,3.78460018131281
8013,3.902757107148953
8014,3.603287760713471
8015,3.7587175061459823
8016,4.5284154407604555
8017,3.5868918862518737
8018,4.47882867011694
8019,3.748064860606217
8020,3.960082138972546
8021,3.9032550967322748
8022,3.8127390684844498
8023,3.6874698781682946
8024,3.2850964059626016
8025,3.472252735916803
8026,4.0468269039355
8027,4.247883035513116
8028,3.9511636833623367
8029,4.086057881638615
8030,4.261704924682214
8031,3.9909057085773627
8032,3.995613903258503
8033,3.9944042651023444
8034,3.233875795830258
8035,3.4724919901269953
8036,4.66570410341885
8037,3.866708087499415
8038,4.0896336580951065
8039,3.435239394398599
8040,4.391534373237789
8041,4.402423550894693
8042,3.69322575163357
8043,3.8460813650794927
8044,3.931337713758937
8045,4.34745877277949
8046,3.928470043517426
8047,4.196437859346915
8048,4.212125904986214
8049,3.8490708624447083
8050,4.616807854369293
8051,3.8264370677598567
8052,4.254599843561369
8053,3.0474861368169996
8054,3.758653844435807
8055,4.038440733735461
8056,3.2610886542131605
8057,3.8294365119703118
8058,3.063563616993275
8059,3.1110045915903455
8060,4.220943956962695
8061,3.2554359602834264
8062,3.619665759804368
8063,3.699682198464623
8064,4.079640130403322
8065,4.150945948311006
8066,4.2497840023454
8067,3.8278338502859555
8068,3.8610972840597677
8069,3.463944372655023
8070,3.5472310864836034
8071,3.6641457369059838
8072,4.282204308492165
8073,3.7825684348734
8074,3.984466999730416
8075,3.579514030173097
8076,3.7450347268205544
8077,3.3872173355907607
8078,3.4005581353407885
8079,4.63602698424779
8080,4.22592284845073
8081,4.047629546091544
8082,3.9581098065016853
8083,4.322152658869168
8084,4.456608834660955
8085,4.525162798449248
8086,3.9934442838253252
8087,3.8282977539721363
8088,4.346300848704994
8089,3.75095301096438
8090,3.749017740484428
8091,4.38876389737463
8092,3.631795394768679
8093,4.235585049427213
8094,4.0935060722885765
8095,5.08837511370252
8096,3.6183460765812496
8097,4.378400977412633
8098,4.102776358049866
8099,3.620097350410828
8100,3.8758610702441105
8101,4.004216152237017
8102,4.268072766669943
8103,3.641486280312383
8104,4.6738481826867595
8105,3.928481430340991
8106,4.126676987811005
8107,4.190322218025007
8108,4.214921635969041
8109,3.867482258837404
8110,3.75018004826413
8111,4.3540650830305765
8112,3.5414638798070945
8113,3.7124928814122313
8114,4.168149791947464
8115,3.923528941044373
8116,3.8402355769512484
